"nt","md","name","eq","way","ec","ko","rn","symbol","map","mdk"
"Fermentation of glucose","Quinone reduction by NADH","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.2","K00355","R07358","NQO1",NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.2","K03809","R07358","wrbA",NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.2","K19267","R07358","qorB",NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.2","K23842","R07358","lpdA",NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.9","K03885","R07358","ndh",NA,NA
"Fermentation of glucose","Quinone reduction by NADH","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.9","K23948","R07358","E1.6.5.9",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","formate dehydrogenase [EC:1.17.1.9]","Formate + Quinone <=> CO2 + Hydroquinone","Forward","1.17.5.3","K00122","R09494","FDH","map00630, map00680",NA
"Fermentation of glucose","Quinone reduction by other donors","formate dehydrogenase major subunit [EC:1.17.1.9], formate dehydrogenase iron-sulfur subunit, formate dehydrogenase subunit gamma","Formate + Quinone <=> CO2 + Hydroquinone","Forward","1.17.5.3","K00123, K00124, K00127","R09494","fdoG, fdoH, fdoI","map00630, map00680",NA
"Fermentation of glucose","Quinone reduction by other donors","formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]","Formate + Quinone <=> CO2 + Hydroquinone","Forward","1.17.5.3","K08348","R09494","fdnG",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","hydrogenase large subunit [EC:1.12.99.6], hydrogenase small subunit [EC:1.12.99.6]","Ubiquinone + Hydrogen <=> Ubiquinol","Forward","1.12.99.6.A","K06281, K06282","R1.12.99.6.A","hyaB, hyaA",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","uptake hydrogenase small subunit [EC:1.12.99.6], uptake hydrogenase large subunit [EC:1.12.99.6]","Ubiquinone + Hydrogen <=> Ubiquinol","Forward","1.12.99.6.A","K23548, K23549","R1.12.99.6.A","hupU, hupV",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","hydrogenase large subunit [EC:1.12.99.6], hydrogenase small subunit [EC:1.12.99.6]","Quinone + Hydrogen <=> Hydroquinone","Forward","1.12.99.6.B","K06281, K06282","R1.12.99.6.B","hyaB, hyaA",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1], quinone-reactive Ni/Fe-hydrogenase small subunit [EC:1.12.5.1]","Quinone + Hydrogen <=> Hydroquinone","Forward","1.12.99.6.B","K05922, K05927","R1.12.99.6.B","hydB, hydA",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","uptake hydrogenase small subunit [EC:1.12.99.6], uptake hydrogenase large subunit [EC:1.12.99.6]","Quinone + Hydrogen <=> Hydroquinone","Forward","1.12.99.6.B","K23548, K23549","R1.12.99.6.B","hupU, hupV",NA,NA
"Fermentation of glucose","Quinone reduction by other donors","pyruvate dehydrogenase (quinone) [EC:1.2.5.1]","Pyruvate + Ubiquinone + H2O <=> Acetate + Ubiquinol + CO2","Bidirectional","1.2.5.1","K00156","R03145","poxB","map00620",NA
"Fermentation of glucose","Quinone reduction by other donors","malate dehydrogenase (quinone) [EC:1.1.5.4]","(S)-Malate + Quinone <=> Oxaloacetate + Hydroquinone","Bidirectional","1.1.5.4","K00116","R00361","mqo","map00020","M00009, M00011, M00982"
"Fermentation of glucose","Fumarate reduction by electron carriers","succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) cytochrome b560 subunit, succinate dehydrogenase (ubiquinone) membrane anchor subunit","Ubiquinone + Succinate <=> Ubiquinol + Fumarate","Reverse","1.3.5.1","K00234, K00235, K00236, K00237","R13223","SDHA, SDHB, SDHC, SDHD","map00020","M00009, M00011"
"Fermentation of glucose","Fumarate reduction by electron carriers","succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) cytochrome b560 subunit, succinate dehydrogenase (ubiquinone) subunit 4","Ubiquinone + Succinate <=> Ubiquinol + Fumarate","Reverse","1.3.5.1","K00234, K00235, K00236, K25801","R13223","SDHA, SDHB, SDHC, SDH4","map00020","M00009, M00011"
"Fermentation of glucose","Fumarate reduction by electron carriers","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase subunit C","Quinone + Succinate <=> Hydroquinone + Fumarate","Reverse","1.3.5.1","K00233, K25995, K25996","R02164","frdA, frdB, frdC","map00020",NA
"Fermentation of glucose","Fumarate reduction by electron carriers","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase cytochrome b subunit","Quinone + Succinate <=> Hydroquinone + Fumarate","Reverse","1.3.5.1","K00239, K00240, K00241","R02164","sdhA, sdhB, sdhC","map00020, map00720","M00009, M00011, M00982, M00376"
"Fermentation of glucose","Fumarate reduction by electron carriers","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit C","Quinone + Succinate <=> Hydroquinone + Fumarate","Reverse","1.3.5.1","K00244, K00245, K00246","R02164","frdA, frdB, frdC","map00020","M00009, M00011, M00982"
"Fermentation of glucose","Fumarate reduction by electron carriers","fumarate reductase (cytochrome) [EC:1.3.2.4]","Succinate + 2 Ferricytochrome c <=> Fumarate + 2 Ferrocytochrome c","Reverse","1.3.2.4","K26318","R13137","fccA","map00020, map00620, map00650, map00720",NA
"Fermentation of glucose","ATP formation","F-type H+-transporting ATPase subunit alpha, F-type H+-transporting ATPase subunit beta [EC:7.1.2.2], F-type H+-transporting ATPase subunit gamma, F-type H+-transporting ATPase subunit delta, F-type H+-transporting ATPase subunit epsilon, F-type H+-transporting ATPase subunit O, F-type H+-transporting ATPase subunit a, F-type H+-transporting ATPase subunit b, F-type H+-transporting ATPase subunit c, F-type H+-transporting ATPase subunit d, F-type H+-transporting ATP synthase subunit e, F-type H+-transporting ATPase subunit f, F-type H+-transporting ATPase subunit g, F-type H+-transporting ATPase subunit 6, F-type H+-transporting ATPase subunit 8","ATP + H2O + 4 H+[side 1] <=> ADP + Orthophosphate + 4 H+[side 2]","Reverse","7.1.2.2","K02132, K02133, K02136, K02134, K02135, K02137, K02126, K02127, K02128, K02138, K01549, K02130, K02140, K02131, K02125","R7.1.2.2","ATPeF1A, ATPeF1B, ATPeF1G, ATPeF1D, ATPeF1E, ATPeF0O, ATPeF0A, ATPeF0B, ATPeF0C, ATPeF0D, TIM11, ATPeF0F, ATPeFG, ATPeF0F6, ATPeF08","map00190","M00158"
"Fermentation of glucose","ATP formation","F-type H+-transporting ATPase subunit alpha, F-type H+-transporting ATPase subunit beta [EC:7.1.2.2], F-type H+-transporting ATPase subunit gamma, F-type H+-transporting ATPase subunit delta, F-type H+-transporting ATPase subunit epsilon, F-type H+-transporting ATPase subunit O, F-type H+-transporting ATPase subunit a, F-type H+-transporting ATPase subunit b, F-type H+-transporting ATPase subunit c, F-type H+-transporting ATPase subunit d, F-type H+-transporting ATP synthase subunit e, F-type H+-transporting ATPase subunit f, F-type H+-transporting ATPase subunit g, F-type H+-transporting ATPase subunit 6, F-type H+-transporting ATPase subunit 8","ATP + H2O + 4 H+[side 1] <=> ADP + Orthophosphate + 4 H+[side 2]","Reverse","7.1.2.2","K02132, K02133, K02136, K02134, K02135, K02137, K02126, K02127, K02128, K02138, K01549, K02139, K02140, K02131, K02125","R7.1.2.2","ATPeF1A, ATPeF1B, ATPeF1G, ATPeF1D, ATPeF1E, ATPeF0O, ATPeF0A, ATPeF0B, ATPeF0C, ATPeF0D, TIM11, ATPeFF, ATPeFG, ATPeF0F6, ATPeF08","map00190","M00158"
"Fermentation of glucose","ATP formation","F-type H+-transporting ATPase subunit alpha, F-type H+-transporting ATPase subunit beta [EC:7.1.2.2], F-type H+-transporting ATPase subunit gamma, F-type H+-transporting ATPase subunit delta, F-type H+-transporting ATPase subunit epsilon, F-type H+-transporting ATPase subunit O, F-type H+-transporting ATPase subunit a, F-type H+-transporting ATPase subunit b, F-type H+-transporting ATPase subunit c, F-type H+-transporting ATPase subunit d, F-type H+-transporting ATP synthase subunit e, F-type H+-transporting ATPase subunit f, F-type H+-transporting ATPase subunit g, F-type H+-transporting ATPase subunit h, F-type H+-transporting ATPase subunit 8","ATP + H2O + 4 H+[side 1] <=> ADP + Orthophosphate + 4 H+[side 2]","Reverse","7.1.2.2","K02132, K02133, K02136, K02134, K02135, K02137, K02126, K02127, K02128, K02138, K01549, K02130, K02140, K02141, K02125","R7.1.2.2","ATPeF1A, ATPeF1B, ATPeF1G, ATPeF1D, ATPeF1E, ATPeF0O, ATPeF0A, ATPeF0B, ATPeF0C, ATPeF0D, TIM11, ATPeF0F, ATPeFG, ATPeFH, ATPeF08","map00190","M00158"
