"","LPSN_ID","FAPROTAX2_Type_of_metabolism"
"156","772532","methanol_oxidation;methylotrophy;dark_hydrogen_oxidation;fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"157","772533","dark_hydrogen_oxidation;fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"158","772534","methanol_oxidation;methylotrophy;dark_hydrogen_oxidation;fermentation;aromatic_compound_degradation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"159","792130","respiration_of_sulfur_compounds;xylanolysis;fermentation;chemoheterotrophy;pectin_degradation;obligate_anaerobes;sulfur_reduction"
"160","772536","fermentation;chemoheterotrophy"
"161","772537","reductive_acetogenesis"
"162","772538","fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"163","772540","fermentation;chemoheterotrophy"
"164","772541","fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"165","793979","fermentation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"166","793977","sulfur_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"167","793978","sulfur_respiration;thiosulfate_respiration;respiration_of_sulfur_compounds;fermentation;reductive_acetogenesis;chemoheterotrophy;pectin_degradation;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"168","772544","dark_hydrogen_oxidation;fermentation;invertebrate_parasites;aromatic_compound_degradation;reductive_acetogenesis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"169","772545","fermentation;chemoheterotrophy"
"170","783246","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"171","783247","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"172","783248","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"173","783249","aerobic_chemoheterotrophy;chemoheterotrophy"
"174","783250","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"175","783251","aerobic_chemoheterotrophy;chemoheterotrophy"
"176","783252","fermentation;aerobic_chemoheterotrophy;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"177","783253","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"178","772547","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"179",NA,"fermentation;facultative_anaerobes"
"180","783254","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"181","783255","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"182","783256","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"183","783257","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"184","783258","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"185","783259","aerobic_chemoheterotrophy;animal_parasites_or_symbionts;chemoheterotrophy;facultative_anaerobes"
"186","783260","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"187","783261","aerobic_chemoheterotrophy;chemoheterotrophy"
"188","783262","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"189","783263","dark_sulfide_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"190",NA,"arsenite_oxidation_detoxification;dissimilatory_arsenite_oxidation"
"191",NA,"nitrate_ammonification;fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"192",NA,"nitrite_denitrification;nitrite_respiration;nitrogen_respiration"
"193","772551","human_pathogens_all;human_associated;animal_parasites_or_symbionts;plastic_degradation"
"194","772562","aerobic_chemoheterotrophy;aromatic_compound_degradation;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"195","772563","dark_hydrogen_oxidation;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"196","772566","arsenite_oxidation_detoxification;dissimilatory_arsenite_oxidation;nitrate_denitrification;nitrite_denitrification;nitrite_respiration;aerobic_chemoheterotrophy;human_pathogens_all;human_associated;animal_parasites_or_symbionts;oil_bioremediation;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;nitrate_respiration;nitrate_reduction;nitrogen_respiration;plastic_degradation;chemoheterotrophy"
"197","772570","fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"198","772571","fermentation;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"199","786784","fermentation;lactic_acid_fermentation;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;chemoheterotrophy;anaerobic_chemoheterotrophy"
"200","772572","sulfur_respiration;respiration_of_sulfur_compounds;knallgas_bacteria;dark_hydrogen_oxidation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;facultative_anaerobes;sulfur_reduction"
"201","772573","sulfur_respiration;respiration_of_sulfur_compounds;knallgas_bacteria;dark_hydrogen_oxidation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;dark_iron_oxidation;iron_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes;sulfur_reduction"
"202",NA,"knallgas_bacteria;anoxygenic_photoautotrophy_H2_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;phototrophy;facultative_anaerobes"
"203",NA,"dark_hydrogen_oxidation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;dark_iron_oxidation;iron_oxidation;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes;sulfur_reduction"
"204","772574","sulfur_respiration;respiration_of_sulfur_compounds;knallgas_bacteria;dark_hydrogen_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;facultative_anaerobes;sulfur_reduction"
"205",NA,"dark_hydrogen_oxidation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;dark_iron_oxidation;iron_oxidation;iron_respiration;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes;sulfur_reduction"
"206",NA,"anoxygenic_photoautotrophy_H2_oxidizing;anoxygenic_photoautotrophy_S_oxidizing;anoxygenic_photoautotrophy;photoautotrophy;phototrophy;facultative_anaerobes"
"207","785735","sulfur_respiration;respiration_of_sulfur_compounds;dark_hydrogen_oxidation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_respiration;chemoheterotrophy;facultative_anaerobes;sulfur_reduction"
"208",NA,"dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation;chemoheterotrophy"
"209","794262","aerobic_chemoheterotrophy;iron_respiration;chemoheterotrophy"
"210","5504","methanol_oxidation;methylotrophy;aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy"
"211","785242","methanol_oxidation;methylotrophy;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;iron_respiration;facultative_anaerobes"
"212","785888","methanol_oxidation;methylotrophy;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;iron_respiration;chemoheterotrophy"
"213","795185","aerobic_chemoheterotrophy;chemoheterotrophy"
"214","789968",NA
"215","789969","gelatin_degradation;xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"216","789099","nitrogen_fixation;dark_sulfide_oxidation;dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation;iron_respiration;facultative_anaerobes"
"217","800857","iron_oxidation"
"218",NA,"dark_sulfur_oxidation;dark_oxidation_of_sulfur_compounds;iron_oxidation"
"219","800856","iron_oxidation"
"220","793279",NA
"221","772577","sulfur_respiration;fermentation;obligate_anaerobes;sulfur_reduction"
"222","772592","fermentation;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"223","772578","dark_iron_oxidation;iron_oxidation;chemoheterotrophy"
"224","772579","dark_sulfur_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;aerobic_chemoheterotrophy;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"225","783267","aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy"
"226","772581","aerobic_chemoheterotrophy;iron_respiration;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"227","772582","arsenate_detoxification;dissimilatory_arsenate_reduction;aerobic_chemoheterotrophy;nitrate_reduction;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;ureolysis;chemoheterotrophy"
"228","783270","aerobic_chemoheterotrophy;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;ureolysis;chemoheterotrophy"
"229","783271","aerobic_chemoheterotrophy;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"230","793733","chitinolysis;chemoheterotrophy"
"231","793213","chemoheterotrophy"
"232","772583","dark_iron_oxidation;iron_oxidation;chemoheterotrophy;facultative_anaerobes"
"233","788161","dark_iron_oxidation;iron_oxidation;iron_respiration;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"234","794760","fermentation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"235","794762","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"236","794758","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"237","794761","nitrate_denitrification;nitrite_respiration;fermentation;aerobic_chemoheterotrophy;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"238","794763","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"239","794759","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"240","797887","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"241","29545","chitinolysis;cellulolysis;xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"242","787098","xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"243","787097","xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"244","783272","aerobic_chemoheterotrophy;aerobic_anoxygenic_phototrophy;photoheterotrophy;phototrophy;chemoheterotrophy"
"245","789251","dark_hydrogen_oxidation;aerobic_chemoheterotrophy;iron_respiration;chemoheterotrophy;facultative_anaerobes"
"246","772585","dark_oxidation_of_sulfur_compounds"
"247","772586","dark_hydrogen_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds"
"248","3527","dark_hydrogen_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation"
"249","791305","dark_hydrogen_oxidation;dark_oxidation_of_sulfur_compounds"
"250","793753","dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation"
"251","788326","dark_hydrogen_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation"
"252","772587","dark_hydrogen_oxidation;dark_sulfur_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds;dark_iron_oxidation;iron_oxidation"
"253","5313","dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds"
"254","772588","dark_sulfur_oxidation;dark_thiosulfate_oxidation;dark_oxidation_of_sulfur_compounds"
"255","34446","aerobic_chemoheterotrophy;chemoheterotrophy;facultative_anaerobes"
"256","794925","dark_hydrogen_oxidation;gelatin_degradation;ureolysis;chemoheterotrophy;facultative_anaerobes"
"257","772589","cellulolysis;xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
