"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address","Domain","Phylum","Class","Order","Family","Genus"
"Acetobacter","malorum",NA,"DSM 14337; LMG 1746","VP; sp. nov.; validly published under the ICNP; correct name",772503,"https://lpsn.dsmz.de/species/acetobacter-malorum","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","musti",NA,"Bo7; CECT 7722; DSM 23824","VP; sp. nov.; validly published under the ICNP; correct name",793848,"https://lpsn.dsmz.de/species/acetobacter-musti","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","nitrogenifigens",NA,"DSM 23921; LMG 23498; MTCC 6912; RG1","VP; sp. nov.; validly published under the ICNP; correct name",785323,"https://lpsn.dsmz.de/species/acetobacter-nitrogenifigens","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","oeni",NA,"B 13; CECT 5830; DSM 23926; LMG 21952","VP; sp. nov.; validly published under the ICNP; correct name",783238,"https://lpsn.dsmz.de/species/acetobacter-oeni","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","okinawensis",NA,"1-35; JCM 25146; LMG 26457","VL; sp. nov.; validly published under the ICNP; correct name",790310,"https://lpsn.dsmz.de/species/acetobacter-okinawensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","orientalis",NA,"21F-2; CIP 107379; DSM 15550; IFO 16606; JCM 11195; NBRC 16606; NRIC 481","VL; sp. nov.; validly published under the ICNP; correct name",772508,"https://lpsn.dsmz.de/species/acetobacter-orientalis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","orleanensis",NA,"ATCC 12876; CCUG 18126; DSM 4492; DSM 46223; IFO 13752; JCM 7639; LMG 1583; NBRC 13752; NCCB 31003; NCIB 8622; NCIMB 8622","VL; comb. nov.; validly published under the ICNP; correct name",772509,"https://lpsn.dsmz.de/species/acetobacter-orleanensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","oryzifermentans",NA,"JCM 31096; KACC 19301; SLV-7","VL; sp. nov.; validly published under the ICNP; correct name",800723,"https://lpsn.dsmz.de/species/acetobacter-oryzifermentans","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","oryzoeni",NA,"B 6; JCM 33371; KACC 21201","VP; sp. nov.; validly published under the ICNP; correct name",5839,"https://lpsn.dsmz.de/species/acetobacter-oryzoeni","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","papayae",NA,"1-25; JCM 25143; LMG 26456","VL; sp. nov.; validly published under the ICNP; correct name",790356,"https://lpsn.dsmz.de/species/acetobacter-papayae","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","pasteurianus",NA,"ATCC 33445; CCUG 18125; CIP 103108; DSM 3509; JCM 7640; LMD 22.1; LMG 1262; NCCB 22001","VL; comb. nov.; validly published under the ICNP; correct name",772511,"https://lpsn.dsmz.de/species/acetobacter-pasteurianus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","persici",NA,"JCM 25330; LMG 26458; T-120","VL; sp. nov.; validly published under the ICNP; correct name",790357,"https://lpsn.dsmz.de/species/acetobacter-persici","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","pomorum",NA,"CIP 105762; DSM 11825; LHT 2458; LMG 18848; LTH 2458","VP; sp. nov.; validly published under the ICNP; correct name",772516,"https://lpsn.dsmz.de/species/acetobacter-pomorum","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","sacchari",NA,"BCC 67843; NRIC 977; TBRC 11175; VTCC 910031; VTH-Ai14","VL; sp. nov.; validly published under the ICNP; correct name",5404,"https://lpsn.dsmz.de/species/acetobacter-sacchari","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","senegalensis",NA,"CWBI-B418; DSM 18889; LMG 23690","VP; sp. nov.; validly published under the ICNP; correct name",785826,"https://lpsn.dsmz.de/species/acetobacter-senegalensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","sicerae",NA,"LMG 1531; NCIB 8941; NCIMB 8941","VP; sp. nov.; validly published under the ICNP; correct name",791950,"https://lpsn.dsmz.de/species/acetobacter-sicerae","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
"Acetobacter","suratthaniensis",NA,"AI32; BCC 26087; NBRC 111399","VL; sp. nov.; validly published under the ICNP; correct name",794706,"https://lpsn.dsmz.de/species/acetobacter-suratthaniensis","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter"
