"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Chroococcus","solitarius",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","50861","https://lpsn.dsmz.de/species/chroococcus-solitarius"
"Chroococcus","sonorensis",NA,"3296","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49148","https://lpsn.dsmz.de/species/chroococcus-sonorensis"
"Chroococcus","spelaeus","aerugineus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50091","https://lpsn.dsmz.de/variety/chroococcus-spelaeus-aerugineus"
"Chroococcus","spelaeus","violacescens",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50092","https://lpsn.dsmz.de/variety/chroococcus-spelaeus-violacescens"
"Chroococcus","splendidus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","51928","https://lpsn.dsmz.de/species/chroococcus-splendidus"
"Chroococcus","submarinus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","35259","https://lpsn.dsmz.de/species/chroococcus-submarinus"
"Chroococcus","subnudus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","39595","https://lpsn.dsmz.de/species/chroococcus-subnudus"
"Chroococcus","subsphaericus",NA,"402 a","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","46323","https://lpsn.dsmz.de/species/chroococcus-subsphaericus"
"Chroococcus","subtilissimus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","43951","https://lpsn.dsmz.de/species/chroococcus-subtilissimus"
"Chroococcus","subviolaceus",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","37422","https://lpsn.dsmz.de/species/chroococcus-subviolaceus"
"Chroococcus","tenacoides",NA,"NY 429","Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","33534","https://lpsn.dsmz.de/species/chroococcus-tenacoides"
"Chroococcus","tenax","boeticus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","48894","https://lpsn.dsmz.de/variety/chroococcus-tenax-boeticus"
"Chroococcus","thermalis",NA,NA,"Species; comb. nov.; validly published under the ICN (Botanical Code); correct name","54274","https://lpsn.dsmz.de/species/chroococcus-thermalis"
"Chroococcus","turgidus","chalybeus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","53845","https://lpsn.dsmz.de/variety/chroococcus-turgidus-chalybeus"
"Chroococcus","turgidus","hookeri",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56323","https://lpsn.dsmz.de/variety/chroococcus-turgidus-hookeri"
"Chroococcus","turgidus","japonicus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","54969","https://lpsn.dsmz.de/variety/chroococcus-turgidus-japonicus"
"Chroococcus","turgidus","maximus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","38548","https://lpsn.dsmz.de/variety/chroococcus-turgidus-maximus"
"Chroococcus","turgidus","minor",NA,"Form; new form; validly published under the ICN (Botanical Code); correct name","67299","https://lpsn.dsmz.de/form/chroococcus-turgidus-minor"
"Chroococcus","turgidus","solitarius",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","50345","https://lpsn.dsmz.de/variety/chroococcus-turgidus-solitarius"
"Chroococcus","turgidus","thermalis",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","53991","https://lpsn.dsmz.de/variety/chroococcus-turgidus-thermalis"
"Chroococcus","turgidus","uniformis","287 a","Variety; new variety; validly published under the ICN (Botanical Code); correct name","38533","https://lpsn.dsmz.de/variety/chroococcus-turgidus-uniformis"
"Chroococcus","turgidus","violaceus",NA,"Variety; new variety; validly published under the ICN (Botanical Code); correct name","56030","https://lpsn.dsmz.de/variety/chroococcus-turgidus-violaceus"
"Chroococcus","vacuolatus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","43216","https://lpsn.dsmz.de/species/chroococcus-vacuolatus"
"Chroococcus","verrucosus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","49725","https://lpsn.dsmz.de/species/chroococcus-verrucosus"
"Chroococcus","violaceus",NA,NA,"Species; sp. nov.; validly published under the ICN (Botanical Code); correct name","53982","https://lpsn.dsmz.de/species/chroococcus-violaceus"
