"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Streptococcus","infantarius","infantarius","ATCC BAA-102; CCUG 43820; CIP 103233; DSM 22960; HDP 90056; NCDO 599; NCFB 599; NCIMB 700599","VP; subsp. nov.; validly published under the ICNP; correct name",784984,"https://lpsn.dsmz.de/subspecies/streptococcus-infantarius-infantarius"
"Streptococcus","infantis",NA,"ATCC 700779; CCUG 39817; CIP 105949; DSM 12492; GTC 849; JCM 10157; LMG 18720; NCTC 13771; O-122","VP; sp. nov.; validly published under the ICNP; correct name",781349,"https://lpsn.dsmz.de/species/streptococcus-infantis"
"Streptococcus","iniae",NA,"ATCC 29178; CCUG 27303; CIP 102508; DSM 20576; LMG 14520; PW","VL; sp. nov.; validly published under the ICNP; correct name",781350,"https://lpsn.dsmz.de/species/streptococcus-iniae"
"Streptococcus","intermedius",NA,"ATCC 27335; CCUG 17827; CCUG 32759; CIP 103248; DSM 20573; HAMBI 1571; JCM 12996; LMG 17840; NCTC 11324","VL; sp. nov.; validly published under the ICNP; correct name",781351,"https://lpsn.dsmz.de/species/streptococcus-intermedius"
"Streptococcus","jiangnanensis",NA,"21WXBC0044M1; CCFM1329; GDMCC 1.4127; KCTC 25762","VP; sp. nov.; validly published under the ICNP; correct name",58012,"https://lpsn.dsmz.de/species/streptococcus-jiangnanensis"
"Streptococcus","lactarius",NA,"CECT 7613; DSM 23027; MV1; NCTC 14695","VP; sp. nov.; validly published under the ICNP; correct name",789217,"https://lpsn.dsmz.de/species/streptococcus-lactarius"
"Streptococcus","loxodontisalivarius",NA,"DSM 27382; JCM 19287; NUM 6304","VP; sp. nov.; validly published under the ICNP; correct name",792111,"https://lpsn.dsmz.de/species/streptococcus-loxodontisalivarius"
"Streptococcus","lutetiensis",NA,"CCUG 46149; CIP 106849; DSM 15350; NEM 782","VP; sp. nov.; validly published under the ICNP; correct name",781355,"https://lpsn.dsmz.de/species/streptococcus-lutetiensis"
"Streptococcus","macacae",NA,"25-1; ATCC 35911; CCUG 27653; CIP 102912; DSM 20724; LMG 15097; NCTC 11558","VP; sp. nov.; validly published under the ICNP; correct name",781356,"https://lpsn.dsmz.de/species/streptococcus-macacae"
"Streptococcus","marimammalium",NA,"CCUG 48494; CIP 108309; DSM 18627; M54/01/1","VP; sp. nov.; validly published under the ICNP; correct name",784986,"https://lpsn.dsmz.de/species/streptococcus-marimammalium"
"Streptococcus","marmotae",NA,"CGMCC 1.15534; DSM 101995; HTS5","VP; sp. nov.; validly published under the ICNP; correct name",794812,"https://lpsn.dsmz.de/species/streptococcus-marmotae"
