#OTU	ID	taxonomy
126	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;brierleyi
127	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;infernus
128	1.0	Thermoproteota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;sulfidivorans
129	1.0	Pseudomonadota;Gammaproteobacteria;GammaproteobacteriaNoOrder;GammaproteobacteriaNoFamily;Acidibacter;ferrireducens
130	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidibrevibacterium;fodinaquatile
131	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidicaldus;organivorans
132	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;acidiphila
133	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;acidisoli
134	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;borealis
135	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;dinghuensis
136	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;ferrireducens
137	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidicapsa;ligni
138	1.0	Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Acididesulfobacillus;acetoxydans
139	1.0	Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;australe
140	1.0	Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter;thiooxydans
141	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;aeolianus
142	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;ferrooxydans
143	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;prosperus
144	1.0	Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter;yilgarnensis
145	1.0	Thermoproteota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;aceticus
146	1.0	Thermoproteota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;saccharovorans
147	1.0	Bacteroidota;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Acidiluteibacter;ferrifornacis
148	1.0	Bacillota;Clostridia;Tissierellales;Acidilutibacteraceae;Acidilutibacter;cellobiosedens
149	1.0	Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Acidimangrovimonas;pyrenivorans
150	1.0	Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Acidimangrovimonas;sediminis
151	1.0	Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;ferrooxidans
152	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;acidophilum
153	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;angustum
154	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;cryptum
155	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;iwatense
156	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;multivorum
157	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;organovorum
158	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;rubrum
159	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidipila;rosea
160	1.0	Methanobacteriota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;aeolicum
161	1.0	Methanobacteriota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;cupricumulans
162	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;acidipropionici
163	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;damnosum
164	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;jensenii
165	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;microaerophilum
166	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;olivae
167	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;thoenii
168	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;virtanenii
169	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidisarcina;polymorpha
170	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;cellulosilyticum
171	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;cladoniae
172	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;sibiricum
173	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;silvae
174	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;tundrae
175	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera;rubrifaciens
176	1.0	Actinomycetota;Acidimicrobiia;Acidimicrobiales;AcidimicrobialesNoFamily;Aciditerrimonas;ferrireducens
177	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;acidisediminis
178	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;albertensis
179	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;caldus
180	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrianus
181	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferridurans
182	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferriphilus
183	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrivorans
184	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrooxidans
185	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;sulfuriphilus
186	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;thiooxidans
187	1.0	Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix;ferrooxidans
188	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidobacterium;ailaaui
189	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidobacterium;capsulatum
190	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aluminiidurans
191	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aminolytica
192	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aquatica
193	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aromatica
194	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;facilis
195	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas;methanolica
196	1.0	Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus;cellulolyticus
197	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;anthurii
198	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;avenae
199	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;bellezanensis
200	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;benzenivorans
201	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;caeni
202	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;carolinensis
203	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;cattleyae
204	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;citrulli
205	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;defluvii
206	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;delafieldii
207	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;facilis
208	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;kalamii
209	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;konjaci
210	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;lacteus
211	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;monticola
212	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;oryzae
213	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;radicis
214	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;sacchari
215	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;soli
216	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans
217	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;valerianellae
218	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;wautersii
219	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;albensis
220	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;amyesii
221	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;apis
222	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;baretiae
223	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;baumannii
224	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;baylyi
225	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;beijerinckii
226	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;bereziniae
227	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;bohemicus
228	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;boissieri
229	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;bouvetii
230	1.0	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;brisouii
